Bootcamp Course,Bootcamp Format,Bootcamp Year,Bootcamp Start Date,Campus - Timezone,Created Date,Close Date,Stage,Discount Amount (converted),Scholarship Amount (converted),Amount (converted),Net Amount With VAT (converted),Drop,Drop Reason,how did you hear about us?,Person Account: Tech Background,Person Account: Gender,Person Account: Highest degree received,Person Account: Looking for a Job,Person Account: Nationality,Stage Duration,Account: Last Modified Date,First touchpoint Date,Hours Before First Touchpoint,Person Account: City Before Course,Person Account: Eligible to Work In
DA,FT,2020,2020-06-22,BCN,2020-02-25,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,No,Spain,174.0,2020-08-10,2020-04-16,1223.51,Barcelona,Yes
WD,PT,2020,2020-03-17,BCN,2020-02-26,2020-03-31,Closed lost,0.0,0.0,7500.0,6375.0,0,Not specified,google,Learning: Beginner Level,Male,Bachelor Degree,Yes,Americas,279.0,2020-08-10,2020-02-27,18.22,Barcelona,No
UX,FT,2020,2020-09-28,BCN,2020-03-16,2020-03-31,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,Intermediate learner,Male,Bachelor Degree,Yes,Americas,209.0,2020-08-10,2020-03-20,95.5,-,No
UX,FT,2020,2020-10-19,BCN,2020-09-16,2020-09-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,Master's Degree,Yes,Spain,64.0,2020-04-12,2020-09-17,33.1,Barcelona,Yes
DA,FT,2020,2020-10-19,BCN,2020-07-22,2020-08-14,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,Social Media,No experience,Male,Master's Degree,Yes,Spain,118.0,2020-11-29,2020-10-08,456.81,Barcelona,Yes
UX,FT,2020,2020-09-28,BCN,2020-04-15,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,Beginning learner,Male,Bachelor Degree,Yes,Europa-Asia,103.0,2020-11-27,2020-04-16,19.47,Paris,Yes
DA,PT,2020,2020-06-16,BCN,2020-05-21,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Spain,186.0,2020-08-10,2020-05-22,26.16,Barcelona,Yes
UX,FT,2020,2020-06-22,BCN,2020-04-14,2020-07-05,Paid Deposit,1000.0,0.0,7000.0,6000.0,0,Not specified,other,Beginning learner,Female,Bachelor Degree,No,Europa-Asia,215.0,2020-11-26,2020-04-15,22.8,Barcelona,Yes
DA,FT,2020,2020-10-19,BCN,2020-04-16,2020-06-30,Closed lost,500.0,0.0,7500.0,7000.0,0,Not specified,IronhackEvent,No experience,Male,Bachelor Degree,Yes,Europa-Asia,64.0,2020-08-10,2020-08-31,3294.09,Gu,Yes
DA,PT,2020,2020-06-16,BCN,2020-04-22,2020-06-30,Closed lost,750.0,0.0,7500.0,6750.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Spain,183.0,2020-08-10,2020-04-22,3.24,Barcelona,Yes
WD,PT,2020,2020-09-29,BCN,2020-04-21,2020-06-30,Closed lost,0.0,0.0,8000.0,8000.0,0,Not specified,google,No experience,Male,No Formal Schooling,Yes,Spain,155.0,2020-08-10,2020-04-22,23.12,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-04-22,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,Beginning learner,Male,Bachelor Degree,No,Spain,76.0,2020-08-10,2020-04-22,0.35,Palma de Mallorca,Yes
DA,PT,2020,2020-06-16,BCN,2020-04-21,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,Beginning learner,Male,PhD,Yes,Europa-Asia,217.0,2020-08-10,2020-04-21,13.19,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-04-18,2020-06-22,Paid Deposit,1200.0,0.0,7500.0,6300.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Europa-Asia,166.0,2020-04-12,2020-04-20,45.91,Barcelona,Yes
DA,FT,2020,2020-10-19,BCN,2020-09-07,2020-09-30,Closed lost,700.0,0.0,7000.0,6300.0,0,Not specified,Referral,Beginning learner,Female,Master's Degree,Yes,Spain,67.0,2020-08-10,2020-09-09,1490.66,Sevilla,Yes
UX,FT,2020,2020-10-19,BCN,2020-09-20,2020-09-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Beginning learner,Female,Master's Degree,Yes,Spain,64.0,2020-05-10,2020-09-23,73.5,Barcelona,Yes
UX,PT,2020,2020-09-29,BCN,2020-09-22,2020-09-30,Closed lost,500.0,0.0,7500.0,7000.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Spain,74.0,2020-09-26,2020-09-25,64.47,Barcelona,Yes
WD,PT,2020,2020-09-29,BCN,2020-07-13,2020-09-30,Closed lost,500.0,0.0,7500.0,7000.0,0,Not specified,other,Advanced,Male,Bachelor Degree,No,Spain,103.0,2020-08-10,2020-07-20,167.02,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-01-07,2020-07-13,Paid Deposit,700.0,0.0,7000.0,6300.0,0,Not specified,Social Media,Beginning learner,Female,Bachelor Degree,Yes,Spain,148.0,2020-04-12,2020-07-07,139.22,Cardadeu,Yes
WD,PT,2021,2021-09-02,BCN,2020-03-11,2020-12-31,Technical Interview,0.0,0.0,7500.0,7500.0,0,Not specified,google,Beginning learner,Male,No Formal Schooling,Yes,Spain,32.0,2020-09-11,2020-05-11,37.73,Barcelona,Yes
WD,PT,2021,2021-09-02,BCN,2020-04-11,2020-12-31,Technical Interview,750.0,0.0,7500.0,6750.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Spain,7.0,2020-01-12,2020-05-11,22.45,Barcelona,Yes
DA,FT,2020,2020-10-19,BCN,2020-05-05,2020-06-30,Closed lost,1200.0,0.0,7500.0,6300.0,0,Not specified,Social Media,Beginning learner,Female,Bachelor Degree,Yes,Europa-Asia,64.0,2020-08-10,2020-06-05,14.26,Barcelona,Yes
UX,FT,2020,2020-06-22,BCN,2020-04-25,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Beginning learner,Female,Bachelor Degree,Yes,Europa-Asia,181.0,2020-10-30,2020-04-27,44.69,Barcelona,Yes
DA,FT,2020,2020-10-19,BCN,2020-04-05,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Referral,No experience,Male,Master's Degree,Yes,Spain,64.0,2020-08-10,2020-05-05,14.74,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-03-21,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Beginning learner,Male,Bachelor Degree,Yes,Americas,217.0,2020-09-22,2020-03-23,42.57,Barcelona,No
WD,PT,2021,2021-09-02,BCN,2020-09-28,2020-09-30,Technical Interview,0.0,0.0,7500.0,7500.0,0,Not specified,other,No experience,Male,Bachelor Degree,Yes,Spain,43.0,2020-10-26,2020-10-22,571.72,Barcelona,Yes
DA,FT,2020,2020-10-19,BCN,2020-09-30,2020-09-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Beginning learner,Male,Master's Degree,Yes,Americas,63.0,2020-06-10,2020-02-10,45.6,Barcelona,Yes
UX,FT,2020,2020-10-19,BCN,2020-01-09,2020-09-23,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Female,Master's Degree,Yes,Spain,75.0,2020-04-12,2020-04-09,74.14,Sevilla,Yes
DA,PT,2021,2021-09-02,BCN,2020-09-30,2020-09-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,Beginning learner,Male,Bachelor Degree,Yes,Americas,7.0,2020-01-12,2020-08-10,189.4,Barcelona,Yes
UX,FT,2020,2020-10-19,BCN,2020-08-31,2020-09-18,Paid Deposit,500.0,0.0,7000.0,6500.0,0,Not specified,Referral,Beginning learner,Male,Bachelor Degree,Yes,Spain,81.0,2020-11-25,2020-08-09,194.69,Barcelona,Yes
UX,FT,2020,2020-09-28,BCN,2020-03-09,2020-09-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Spain,78.0,2020-09-21,2020-08-09,123.88,Barcelona,Yes
WD,PT,2020,2020-09-29,BCN,2020-03-09,2020-09-30,Closed lost,750.0,0.0,7500.0,6750.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Spain,62.0,2020-07-10,2020-09-09,140.33,Barcelona,Yes
WD,FT,2021,2021-03-22,BCN,2020-02-09,2020-10-09,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,Social Media,Beginning learner,Male,Bachelor Degree,Yes,Spain,87.0,2020-10-30,2020-03-09,15.33,Barcelona,Yes
DA,FT,2021,2021-11-01,BCN,2020-09-29,2020-09-30,Closed lost,500.0,0.0,7000.0,6500.0,0,Not specified,other,Beginning learner,Male,Bachelor Degree,Yes,Spain,12.0,2020-11-26,2020-07-10,190.44,Barcelona,Yes
UX,FT,2020,2020-09-28,BCN,2020-04-09,2020-09-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Spain,76.0,2020-09-23,2020-08-09,101.89,Barcelona,Yes
WD,FT,2021,2021-11-01,BCN,2020-07-10,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Male,Bachelor Degree,Yes,Europa-Asia,43.0,2020-10-26,2020-10-22,362.93,Barcelona,Yes
WD,PT,2020,2020-09-29,BCN,2020-07-09,2020-09-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Americas,77.0,2020-11-26,2020-07-09,3.2,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-05-09,2020-11-09,Paid Deposit,700.0,0.0,7000.0,6300.0,0,Not specified,Referral,Beginning learner,Female,Master's Degree,No,Spain,88.0,2020-05-12,2020-10-09,117.64,Barcelona,Yes
