Bootcamp Course,Bootcamp Format,how did you hear about us?,Person Account: Tech Background,Person Account: Gender,Person Account: Highest degree received,Person Account: Looking for a Job,Person Account: Nationality,Stage Duration,Hours Before First Touchpoint,Person Account: City Before Course,Person Account: Eligible to Work In,Paid Deposit,Time to first touchpoint - days,Time First touchpoint to Close date - days,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
UX,PT,Referral,Beginning learner,Female,Master's Degree,Yes,Americas,62.0,97.1,Barcelona,Yes,0,4,11,0,0,15,106,0.0,6,2
WD,FT,google,No experience,Male,No Formal Schooling,Yes,Europa-Asia,168.0,8.53,Barcelona,No,0,0,39,0,0,39,38,0.0,5,2
WD,PT,google,Beginning learner,Male,No Formal Schooling,Yes,Spain,62.0,87.74,Barcelona,Yes,0,4,7,0,0,11,102,0.0,6,2
WD,FT,google,No experience,Male,High school Graduate,Yes,Europa-Asia,120.0,28.68,Torello,Yes,0,31,145,0,0,176,287,0.0,1,1
WD,FT,Referral,No experience,Male,Bachelor Degree,Yes,Spain,111.0,205.47,Barcelona,Yes,0,8,7,0,0,15,105,0.0,6,2
UX,FT,other,No experience,Male,Bachelor Degree,Yes,Europa-Asia,77.0,4.02,Barcelona,Yes,0,0,145,0,1,145,235,0.09999999999999998,2,1
WD,FT,Referral,No experience,Male,No Formal Schooling,Yes,Spain,181.0,19.11,Barcelona,Yes,1,31,130,0,1,161,266,0.13,1,1
WD,FT,Referral,No experience,Male,No Formal Schooling,Yes,Spain,89.0,6.75,Barcelona,Yes,1,0,160,0,0,160,235,0.0,2,1
WD,FT,google,No experience,Female,Master's Degree,Yes,Americas,174.0,1.31,Barcelona,Yes,1,0,132,0,1,132,144,0.09999999999999998,2,1
WD,FT,Social Media,No experience,Female,Bachelor Degree,Yes,Europa-Asia,201.0,63.12,Barcelona,Yes,1,3,3,0,1,6,45,0.09999999999999998,5,2
UX,FT,Social Media,Beginning learner,Female,Bachelor Degree,Yes,Americas,99.0,22.02,Barcelona,Yes,0,1,43,0,0,44,155,0.0,5,2
UX,FT,google,No experience,Female,Bachelor Degree,Yes,Americas,103.0,240.26,Barcelona,Yes,0,10,34,0,0,44,134,0.0,5,2
DA,FT,Referral,Beginning learner,Male,Bachelor Degree,Yes,Europa-Asia,180.0,18.56,Budapest,Yes,0,1,43,0,1,44,36,0.06999999999999995,5,2
WD,PT,Referral,No experience,Male,No Formal Schooling,Yes,Spain,62.0,11.37,Barcelona,Yes,0,1,46,0,0,47,138,0.0,5,2
WD,FT,Referral,No experience,Female,Bachelor Degree,Yes,Spain,168.0,11.25,Barcelona,Yes,0,1,39,0,1,40,39,0.09999999999999998,5,2
WD,FT,Referral,No experience,Male,Bachelor Degree,Yes,Americas,103.0,22.43,Barcelona,Yes,0,1,32,0,0,33,123,0.0,5,2
DA,PT,Social Media,Beginning learner,Male,Bachelor Degree,Yes,Spain,183.0,17.08,Barcelona,Yes,1,1,130,0,0,131,19,0.0,5,2
UX,FT,google,No experience,Male,Bachelor Degree,Yes,Spain,77.0,19.83,Barcelona,Yes,0,1,34,0,0,35,125,0.0,5,2
WD,FT,Referral,No experience,Male,Bachelor Degree,No,Spain,183.0,1.02,Barcelona,Yes,1,0,72,0,1,72,125,0.06999999999999995,5,2
UX,FT,google,No experience,Female,Bachelor Degree,Yes,Europa-Asia,77.0,14.77,Barcelona,Yes,0,1,35,0,0,36,126,0.0,5,2
UX,FT,google,No experience,Male,Bachelor Degree,Yes,Spain,47.0,15.09,Barcelona,Yes,0,30,55,0,0,85,574,0.0,4,2
DA,FT,Referral,Beginning learner,Male,PhD,Yes,Spain,179.0,0.87,Barcelona,Yes,1,0,275,0,1,275,227,0.24,3,1
DA,FT,Referral,Beginning learner,Male,Bachelor Degree,Yes,Spain,187.0,2.05,Barcelona,Yes,1,0,31,0,1,31,108,0.06999999999999995,3,1
DA,FT,other,No experience,Female,Bachelor Degree,Yes,Spain,92.0,308.76,Barcelona,Yes,0,13,65,0,1,78,97,0.09999999999999998,7,3
WD,PT,google,No experience,Female,Bachelor Degree,Yes,Americas,62.0,161.91,Barcelona,Yes,0,7,65,0,0,72,71,0.0,7,3
