Bootcamp Course,Bootcamp Format,Bootcamp Year,Campus - Timezone,Drop,Drop Reason,how did you hear about us?,Person Account: Gender,Stage Duration,Paid Deposit,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
WD,FT,2017,PAR,0,Not specified,TV and/or radio,Male,1300.0,0,0,1,67,-39,0.15000000000000002,5,2
UX,FT,2020,PAR,0,Not specified,google,Female,421.0,0,0,0,25,256,0.0,9,3
WD,FT,2020,MEX,0,Not specified,google,Male,236.0,0,0,0,0,281,0.0,3,1
WD,FT,2018,BCN,0,Not specified,Social Media,Male,1120.0,0,0,1,98,125,0.15000000000000002,11,4
WD,FT,2018,MEX,0,Not specified,Social Media,Male,1075.0,0,0,0,18,24,0.0,12,4
UX,FT,2020,MEX,0,Not specified,Social Media,Female,132.0,0,0,0,76,-130,0.0,7,3
WD,FT,2017,MAD,0,Not specified,other,Male,1300.0,0,0,0,6,202,0.0,5,2
DA,FT,2020,MEX,0,Not specified,Social Media,Female,288.0,0,0,0,58,50,0.0,2,1
WD,FT,2018,BCN,0,Not specified,Referral,Male,1120.0,1,0,0,77,125,0.0,11,4
WD,FT,2019,MIA,0,Not specified,Social Media,Female,446.0,0,0,0,0,32,0.0,9,3
WD,FT,2020,MIA,0,Not specified,other,Female,301.0,0,0,0,58,186,0.0,2,1
UX,PT,2018,MAD,0,Not specified,Referral,Male,1120.0,0,0,0,133,161,0.0,11,4
WD,FT,2017,PAR,0,Not specified,Blog,Male,1299.0,0,0,0,172,-40,0.0,5,2
DA,FT,2020,MEX,0,Not specified,Social Media,Male,278.0,0,0,0,58,50,0.0,2,1
WD,PT,2019,MAD,0,Not specified,Referral,Male,719.0,0,0,0,102,32,0.0,12,4
WD,FT,2017,PAR,0,Not specified,Social Media,Male,1299.0,0,0,0,172,38,0.0,5,2
UX,FT,2019,PAR,0,Not specified,Social Media,Male,425.0,0,0,0,21,25,0.0,9,3
DA,FT,2020,AMS,0,Not specified,Social Media,Female,281.0,0,0,0,58,134,0.0,2,1
WD,FT,2018,MIA,0,Not specified,google,Male,1098.0,0,0,0,479,224,0.0,6,2
DA,FT,2020,BCN,0,Not specified,Social Media,Female,63.0,0,0,0,76,95,0.0,7,3
WD,FT,2017,BCN,0,Not specified,Social Media,Male,1299.0,0,0,0,18,87,0.0,5,2
UX,PT,2020,SAO,0,Not specified,google,Female,440.0,0,0,0,6,317,0.0,9,3
UX,FT,2018,MIA,0,Not specified,other,Female,1098.0,0,0,0,479,237,0.0,6,2
WD,FT,2020,MIA,0,Not specified,other,Female,137.0,0,0,0,75,31,0.0,7,3
WD,FT,2017,PAR,0,Not specified,Referral,Male,1299.0,0,0,0,172,-40,0.0,5,2
UX,FT,2020,PAR,0,Not specified,Social Media,Male,280.0,0,0,0,58,50,0.15000000000000002,2,1
WD,FT,2018,MIA,0,Not specified,Referral,Female,1098.0,1,0,1,219,224,0.08999999999999997,6,2
WD,FT,2020,RMT-Europe,0,Not specified,google,Male,117.0,0,0,0,75,59,0.0,7,3
WD,FT,2017,PAR,0,Not specified,newspaperOrMagazine,Male,1299.0,0,0,0,172,38,0.0,5,2
UX,FT,2020,PAR,0,Not specified,Social Media,Male,295.0,0,0,0,0,37,0.15000000000000002,2,1
WD,FT,2018,MAD,0,Not specified,Social Media,Female,1098.0,0,0,0,274,512,0.0,6,2
WD,FT,2020,MIA,0,Not specified,google,Male,300.0,0,0,0,58,57,0.0,2,1
WD,FT,2018,MEX,0,Not specified,other,Male,1098.0,0,0,1,193,224,0.010000000000000009,6,2
DA,FT,2020,MEX,0,Not specified,Referral,Male,132.0,0,0,0,75,-131,0.0,7,3
WD,FT,2017,BCN,0,Not specified,Social Media,Male,1282.0,0,0,0,52,163,0.0,5,2
UX,PT,2019,MIA,0,Not specified,Social Media,Female,435.0,0,0,0,6,27,0.0,9,3
DA,FT,2020,MAD,0,Not specified,Referral,Female,300.0,0,0,0,58,50,0.15000000000000002,2,1
WD,FT,2018,MAD,0,Not specified,google,Male,1060.0,0,0,0,297,297,0.0,1,1
UX,PT,2017,MAD,0,Not specified,Referral,Female,1282.0,0,0,1,102,217,0.15000000000000002,5,2
WD,FT,2018,MEX,0,Not specified,Social Media,Female,1097.0,1,0,1,227,194,0.09999999999999998,7,3
WD,FT,2018,MEX,0,Not specified,google,Male,1060.0,1,0,0,263,22,0.0,1,1
WD,FT,2020,MAD,0,Not specified,Referral,Female,134.0,0,0,0,75,31,0.0,7,3
WD,FT,2017,PAR,0,Not specified,Social Media,Male,1282.0,0,0,0,185,-27,0.0,5,2
WD,FT,2020,BCN,0,Not specified,Referral,Male,229.0,0,0,0,58,148,0.0,2,1
WD,FT,2018,BER,0,Not specified,Social Media,Female,1097.0,0,0,1,244,383,0.15000000000000002,7,3
WD,FT,2018,PAR,0,Not specified,Social Media,Male,1060.0,0,0,0,109,115,0.0,1,1
WD,FT,2017,MIA,0,Not specified,google,Female,1282.0,0,0,0,485,32,0.0,6,2
DA,FT,2020,MAD,0,Not specified,google,Male,237.0,1,0,0,21,-81,0.0,3,1
WD,FT,2018,PAR,0,Not specified,Social Media,Female,1097.0,0,0,0,190,385,0.0,7,3
UX,FT,2018,BCN,0,Not specified,Social Media,Male,1060.0,0,0,0,10,16,0.0,1,1
