Bootcamp Course,Bootcamp Format,how did you hear about us?,Person Account: Gender,Stage Duration,Hours Before First Touchpoint,Paid Deposit,Time to first touchpoint - days,Time First touchpoint to Close date - days,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
WD,FT,Social Media,Male,123.0,40.17,0,2,61,0,0,63,26,0.0,7,3
WD,FT,google,Male,123.0,0.07,0,0,63,0,1,63,44,0.09999999999999998,7,3
DA,FT,Social Media,Male,71.0,23.48,0,1,62,0,0,63,44,0.0,7,3
WD,FT,other,Male,187.0,27.89,0,1,41,0,0,42,97,0.0,5,2
UX,FT,google,Female,54.0,23.7,0,1,62,0,0,63,44,0.0,7,3
UX,FT,google,Female,215.0,15.74,0,0,76,0,0,76,61,0.0,4,2
WD,PT,Referral,Male,200.0,87.64,0,4,39,0,0,43,-102,0.0,5,2
WD,FT,Referral,Female,181.0,15.3,0,1,42,0,0,43,98,0.0,5,2
WD,FT,Social Media,Female,131.0,12.22,0,1,62,0,1,63,26,0.09999999999999998,7,3
DA,FT,google,Male,209.0,4.24,0,0,76,0,0,76,113,0.0,4,2
WD,FT,Social Media,Female,123.0,19.77,0,1,61,0,1,62,43,0.09999999999999998,7,3
DA,PT,Social Media,Male,196.0,27.55,0,1,76,0,0,77,-39,0.0,4,2
UX,FT,Referral,Male,126.0,2.71,0,0,62,0,0,62,25,0.0,7,3
UX,FT,Social Media,Female,232.0,7.49,0,0,76,0,0,76,61,0.0,4,2
UX,FT,google,Female,103.0,502.77,0,21,41,0,1,62,43,0.09999999999999998,7,3
DA,FT,Social Media,Female,232.0,13.45,0,0,77,0,0,77,114,0.0,4,2
WD,FT,newspaperOrMagazine,Male,123.0,1.82,0,0,62,0,0,62,25,0.0,7,3
DA,FT,other,Female,110.0,22.48,0,31,175,0,1,206,187,0.09999999999999998,3,1
UX,FT,Referral,Female,47.0,1.8,0,0,43,0,0,43,440,0.0,8,3
WD,FT,Social Media,Female,118.0,147.4,0,182,84,0,1,266,229,0.09999999999999998,1,1
WD,FT,google,Female,225.0,0.81,0,0,77,0,0,77,114,0.0,4,2
WD,FT,Social Media,Male,118.0,21.66,0,31,175,0,0,206,169,0.0,3,1
UX,FT,other,Female,228.0,14.92,0,1,71,0,0,72,57,0.0,4,2
WD,FT,Referral,Female,84.0,48.92,1,60,193,0,1,253,247,0.09999999999999998,1,1
DA,PT,IronhackEvent,Female,208.0,11.15,0,0,69,0,1,69,-47,0.09999999999999998,4,2
WD,FT,Social Media,Male,102.0,12.13,1,0,92,0,1,92,156,0.06000000000000005,4,2
DA,FT,other,Female,232.0,1.94,0,0,71,0,1,71,108,0.09999999999999998,4,2
DA,PT,other,Female,223.0,15.79,0,0,70,0,1,70,-46,0.09999999999999998,4,2
WD,PT,other,Female,230.0,31.15,0,1,71,0,0,72,-73,0.0,4,2
UX,FT,google,Female,196.0,67.78,0,3,71,0,0,74,59,0.0,4,2
UX,FT,Referral,Male,158.0,15.4,0,1,68,0,0,69,124,0.0,4,2
UX,PT,google,Female,216.0,5.74,0,0,70,0,0,70,153,0.0,4,2
WD,FT,google,Male,228.0,74.06,0,3,69,0,0,72,109,0.0,4,2
DA,FT,Social Media,Male,204.0,6.99,0,0,70,0,0,70,107,0.0,4,2
WD,FT,other,Female,217.0,15.88,0,1,69,0,1,70,107,0.09999999999999998,4,2
